"","City","Population","Violent.crime","Murder.and.nonnegligent.manslaughter","Forcible.rape","Robbery","Aggravated.assault","Property.crime","Burglary","Larceny.theft","Motor.vehicle.theft","Arson1"
"373","Santa Monica","88,406","551",4,"21","241","285","3,496","788","2,286","422","16"
"374","Santa Paula","28,923","100",0,"8","29","63","641","140","407","94","1"
"375","Santa Rosa","154,656","1,021",2,"61","168","790","4,900","803","3,508","589","26"
"376","Santee","52,926","163",1,"16","30","116","1,316","281","800","235","9"
"377","Saratoga","29,830","21",1,"3","2","15","377","115","249","13","1"
"378","Sausalito","7,276","8",0,"1","3","4","209","44","147","18","1"
"379","Scotts Valley","11,279","16",1,"2","2","11","351","79","257","15","1"
"380","Seal Beach","24,621","49",0,"1","9","39","497","105","340","52","3"
"381","Seaside","34,357","171",0,"10","42","119","738","129","545","64","9"
"382","Sebastopol","7,736","19",0,"1","4","14","187","41","130","16","4"
"383","Selma","22,065","103",0,"4","35","64","1,396","176","938","282","1"
"384","Shafter","14,249","53",1,"6","5","41","688","193","413","82","12"
"385","Sierra Madre","11,096","5",0,"1","0","4","210","64","134","12","0"
"386","Signal Hill","10,769","57",0,"4","30","23","583","121","360","102","7"
"387","Simi Valley","119,682","172",0,"17","47","108","2,315","583","1,515","217","22"
"388","Solana Beach","12,945","24",0,"1","12","11","312","87","179","46","1"
"389","Soledad","26,500","33",1,"5","21","6","497","206","251","40","0"
"390","Solvang","5,260","12",0,"5","6","1","96","23","73","0","3"
"391","Sonoma","9,744","31",0,"1","2","28","387","132","238","17","12"
"392","Sonora","4,649","22",0,"2","6","14","496","151","312","33","3"
"393","South El Monte","21,946","130",3,"5","41","81","750","147","313","290","5"
"394","South Gate","100,289","527",6,"19","305","197","2,897","444","1,164","1,289","18"
"395","South Lake Tahoe","24,085","131",1,"8","21","101","553","189","301","63","1"
"396","South Pasadena","25,214","42",0,"1","28","13","655","148","409","98","3"
"397","South San Francisco","60,295","175",3,"8","46","118","1,541","609","640","292","25"
"398","Stallion Springs","1,624","0",0,"0","0","0","43","16","26","1","0"
"399","Stanton","38,175","149",3,"6","63","77","937","201","526","210","15"
"400","St. Helena","6,066","5",0,"1","0","4","129","39","81","9","0"
"401","Stockton","281,747","4,202",41,"109","1,357","2,695","18,861","3,434","11,487","3,940","60"
"402","Suisun City","27,124","127",0,"13","39","75","576","124","304","148","5"
"403","Sunnyvale","128,862","232",3,"27","73","129","2,661","495","1,794","372","16"
"404","Susanville","18,163","45",0,"5","1","39","295","76","208","11","6"
"405","Sutter Creek","2,443","12",0,"3","2","7","93","31","58","4","3"
"406","Taft","9,136","34",0,"2","6","26","275","61","198","16","18"
"407","Temecula","82,628","269",4,"16","73","176","2,808","684","1,725","399","4"
"408","Temple City","37,156","76",0,"3","31","42","557","181","296","80","2"
"409","Thousand Oaks","125,884","174",2,"13","56","103","1,784","379","1,289","116","18"
"410","Tiburon","8,749","5",0,"1","0","4","100","21","70","9","4"
"411","Torrance","143,790","320",1,"20","211","88","3,290","641","2,144","505","24"
"412","Tracy","77,411","149",0,"7","60","82","3,301","473","2,366","462","20"
"413","Trinidad","312","0",0,"0","0","0","46","10","33","3","1"
"414","Truckee","15,554","26",0,"4","4","18","352","99","207","46","2"
"415","Tulare","49,020","497",8,"17","85","387","3,187","904","1,809","474","60"
"416","Tulelake","1,015","2",0,"0","0","2","17","6","11","0","0"
"417","Turlock","65,919","411",2,"18","97","294","3,705","637","2,014","1,054","22"
"418","Tustin","69,068","228",2,"10","60","156","1,926","438","1,146","342","14"
"419","Twentynine Palms","30,281","105",0,"11","5","89","530","194","270","66","8"
"420","Twin Cities","21,113","13",0,"3","6","4","672","222","385","65","3"
"421","Ukiah","15,683","74",0,"5","11","58","542","189","291","62","10"
"422","Union City","69,396","416",3,"15","167","231","2,507","603","1,325","579","11"
"423","Upland","74,014","282",4,"21","104","153","3,025","466","2,107","452","11"
"424","Vacaville","94,929","262",2,"23","69","168","2,518","353","1,899","266","33"
"425","Ventura","104,759","297",1,"19","107","170","3,911","815","2,695","401","18"
"426","Vernon","94","48",0,"0","28","20","544","52","260","232","9"
"427","Victorville","83,340","435",12,"30","153","240","4,229","865","2,536","828","10"
"428","Villa Park","6,109","4",0,"0","0","4","118","25","87","6","0"
"429","Visalia","105,350","1,055",10,"39","192","814","6,765","1,216","4,347","1,202","31"
"430","Vista","92,193","530",4,"21","190","315","2,971","771","1,621","579","29"
"431","Walnut","31,817","45",0,"1","21","23","492","178","236","78","6"
"432","Walnut Creek","65,252","130",1,"8","38","83","2,919","507","2,142","270","14"
"433","Waterford","8,173","41",0,"2","2","37","317","98","172","47","0"
"434","Watsonville","47,465","237",2,"17","81","137","2,043","284","1,481","278","7"
"435","Weed","3,097","15",0,"5","1","9","137","39","83","15","2"
"436","West Covina","109,390","350",6,"19","150","175","4,050","744","2,398","908","5"
"437","West Hollywood","37,178","342",2,"19","167","154","1,647","312","1,073","262","5"
"438","Westlake Village","8,641","16",0,"0","3","13","150","39","99","12","0"
"439","Westminster","90,452","351",3,"14","96","238","2,866","561","1,769","536","27"
"440","Westmorland","2,105","1",0,"0","0","1","25","14","10","1","0"
"441","West Sacramento","39,612","361",2,"23","60","276","1,433","563","480","390","27"
"442","Wheatland","3,360","9",0,"2","0","7","98","24","59","15","0"
"443","Whittier","86,077","307",5,"15","125","162","2,592","429","1,655","508","14"
"444","Williams","4,064","15",0,"3","1","11","71","14","42","15","1"
"445","Willits","5,132","34",0,"1","9","24","148","41","92","15","4"
"446","Willows","6,341","34",0,"1","4","29","303","60","220","23","0"
"447","Windsor","24,915","87",0,"5","5","77","354","61","264","29","2"
"448","Winters","6,883","6",0,"0","0","6","131","27","92","12","6"
"449","Woodlake","7,129","42",1,"5","3","33","375","98","206","71","2"
"450","Woodland","52,036","142",1,"14","34","93","1,794","307","1,182","305","24"
"451","Yorba Linda","64,083","49",0,"2","5","42","797","169","553","75","9"
"452","Yountville","3,350","3",0,"1","0","2","54","11","39","4","0"
"453","Yreka","7,214","27",0,"2","1","24","323","36","264","23","1"
"454","Yuba City","52,470","188",3,"17","48","120","2,304","453","1,604","247","15"
"455","Yucaipa","48,182","71",3,"3","12","53","855","208","468","179","15"
"456","Yucca Valley","19,157","71",0,"7","9","55","478","129","254","95","7"
