"","City","Population","Violentcrime","Murder.andnonnegligentmanslaughter","Forciblerape","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny.theft","Motorvehicletheft","Arson"
"424","Ukiah","14,781","92",0,12,"10","70","466","156","291","19","6"
"425","Union City","73,356","324",4,8,"138","174","1,810","465","1,084","261","11"
"426","Upland","73,341","208",2,9,"86","111","2,358","495","1,509","354","2"
"427","Vacaville","92,177","272",3,27,"71","171","1,866","322","1,370","174","30"
"428","Vallejo1","114,258","822",17,59,"458","288","5,101","2,249","1,675","1,177","35"
"429","Ventura","104,661","263",3,16,"108","136","3,458","652","2,654","152","7"
"430","Vernon","89","26",0,1,"18","7","316","43","191","82","7"
"431","Victorville","117,057","681",6,38,"256","381","3,674","1,274","1,964","436","26"
"432","Villa Park","5,991","6",0,0,"1","5","69","20","48","1","0"
"433","Visalia","125,036","578",6,26,"176","370","5,334","1,237","3,497","600","8"
"434","Vista","92,765","405",5,21,"112","267","2,110","463","1,260","387","22"
"435","Walnut","30,636","29",0,3,"4","22","447","159","248","40","2"
"436","Walnut Creek","63,897","115",1,5,"38","71","2,372","436","1,783","153","5"
"437","Waterford","9,127","40",2,1,"6","31","265","52","173","40","0"
"438","Watsonville","51,488","327",1,13,"98","215","1,539","271","1,091","177","14"
"439","Weed","3,023","21",0,4,"3","14","99","32","57","10","0"
"440","West Covina","105,395","318",0,19,"120","179","2,979","531","1,854","594","2"
"441","West Hollywood","35,885","389",6,12,"154","217","1,545","288","1,124","133","8"
"442","Westlake Village","8,460","6",1,0,"2","3","143","48","92","3","0"
"443","Westminster","89,604","259",2,17,"102","138","2,539","419","1,848","272","10"
"444","Westmorland","2,231","6",0,0,"1","5","17","7","8","2","0"
"445","West Sacramento","49,816","172",1,27,"65","79","1,345","304","863","178","19"
"446","Wheatland","3,715","5",0,1,"0","4","48","9","34","5","0"
"447","Whittier","81,611","343",2,20,"96","225","2,433","413","1,734","286","9"
"448","Wildomar","22,816","59",0,11,"15","33","703","188","365","150","2"
"449","Williams","4,896","15",0,0,"2","13","93","22","58","13","2"
"450","Willits","4,931","41",0,3,"12","26","112","30","62","20","4"
"451","Willows","6,234","21",0,4,"6","11","176","36","134","6","0"
"452","Windsor","25,870","38",0,2,"5","31","320","66","240","14","1"
"453","Winters","7,096","6",0,3,"0","3","169","58","99","12","0"
"454","Woodlake","7,791","18",1,2,"3","12","195","35","144","16","1"
"455","Woodland","55,814","161",1,17,"39","104","1,513","352","993","168","19"
"456","Yorba Linda","66,813","58",0,3,"9","46","804","150","621","33","2"
"457","Yountville","3,293","5",0,1,"1","3","57","9","47","1","1"
"458","Yreka","7,345","54",0,2,"2","50","263","69","176","18","2"
"459","Yuba City","62,694","216",2,22,"51","141","1,783","409","1,222","152","11"
"460","Yucaipa","50,939","139",0,10,"31","98","805","233","464","108","9"
"461","Yucca Valley","20,746","104",2,11,"13","78","528","157","306","65","6"
