"","City","Population","Violent.crime","Murder.and.nonnegligent.manslaughter","Forcible.rape","Robbery","Aggravated.assault","Property.crime","Burglary","Larceny.theft","Motor.vehicle.theft","Arson1"
"50","Buellton","4,332","11",0,"2","1","8","87","19","63","5","1"
"51","Buena Park","79,887","274",1,"19","114","140","1,960","410","1,091","459","44"
"52","Burbank","105,046","252",1,"10","75","166","2,721","567","1,683","471","14"
"53","Burlingame","27,627","75",0,"6","32","37","891","153","636","102","17"
"54","Calabasas","22,105","24",0,"1","3","20","322","80","215","27","4"
"55","Calexico","36,329","117",1,"1","42","73","1,350","364","566","420","31"
"56","California City","11,896","43",2,"1","6","34","302","120","160","22","0"
"57","Calimesa","7,558","22",0,"1","12","9","181","47","105","29","0"
"58","Calipatria","7,795","1",0,"0","1","0","36","14","18","4","0"
"59","Calistoga","5,237","8",0,"1","0","7","106","26","74","6","0"
"60","Camarillo","62,131","114",2,"10","28","74","1,119","231","789","99","7"
"61","Campbell","37,376","77",0,"7","24","46","1,238","243","829","166","17"
"62","Canyon Lake","11,389","18",0,"2","2","14","165","34","91","40","2"
"63","Capitola","9,639","61",0,"3","9","49","934","122","770","42","0"
"64","Carlsbad","91,590","329",1,"11","77","240","2,455","587","1,648","220","18"
"65","Carmel","4,030","7",0,"2","1","4","148","38","104","6","0"
"66","Carpinteria","13,671","23",0,"3","5","15","236","72","147","17","2"
"67","Carson","94,801","738",15,"16","268","439","2,823","619","1,502","702","37"
"68","Cathedral City","52,179","233",4,"15","62","152","1,709","501","871","337","0"
"69","Ceres","40,936","180",2,"12","57","109","2,094","333","1,300","461","19"
"70","Cerritos","53,034","172",4,"4","115","49","1,912","300","1,316","296","6"
"71","Chico","72,070","337",1,"66","92","178","2,658","741","1,559","358","78"
"72","Chino","78,277","228",0,"8","108","112","2,390","530","1,426","434","19"
"73","Chino Hills","76,404","127",1,"7","26","93","1,214","275","776","163","6"
"74","Chowchilla","16,674","26",0,"5","2","19","295","84","183","28","0"
"75","Chula Vista","212,393","947",7,"70","351","519","7,034","1,184","3,817","2,033","41"
"76","City of Angels","3,795","11",0,"1","2","8","76","30","41","5","3"
"77","Claremont","35,499","88",1,"6","29","52","989","293","620","76","5"
"78","Clayton","11,242","12",0,"0","3","9","184","36","137","11","5"
"79","Clearlake","14,861","75",3,"4","7","61","507","162","267","78","8"
"80","Cloverdale","8,088","25",0,"3","3","19","169","38","121","10","3"
"81","Clovis","87,306","148",1,"11","59","77","3,154","630","2,139","385","37"
"82","Coachella","32,724","255",5,"11","88","151","1,649","392","783","474","13"
