"","City","Population","Violentcrime","Murder.andnonnegligentmanslaughter","Rape.reviseddefinition.1","Rape.legacydefinition.2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny.theft","Motorvehicletheft","Arson"
"151","Galt","24,553","63",2,NA,7,"15","39","517","190","263","64","4"
"152","Gardena","59,703","245",0,NA,16,"144","85","1,331","298","726","307","7"
"153","Garden Grove","175,469","455",5,NA,16,"137","297","3,397","637","2,221","539","29"
"154","Gilroy","51,240","180",3,NA,15,"51","111","1,740","222","1,283","235","10"
"155","Glendale","195,366","181",1,NA,8,"75","97","3,198","563","2,384","251","5"
"156","Glendora","50,893","65",2,NA,7,"30","26","1,340","173","1,096","71","6"
"157","Goleta","30,401","43",0,NA,7,"9","27","451","137","301","13","1"
"158","Gonzales","8,428","24",0,NA,2,"7","15","109","35","55","19","2"
"159","Grand Terrace","12,364","38",0,NA,1,"16","21","279","77","143","59","2"
"160","Grass Valley","12,792","115",0,NA,2,"10","103","751","131","551","69","5"
"161","Greenfield","16,922","89",1,NA,1,"31","56","259","62","141","56","3"
"162","Gridley","6,563","72",1,NA,4,"1","66","191","53","115","23","6"
"163","Grover Beach","13,398","39",0,NA,7,"7","25","303","94","174","35","1"
"164","Guadalupe","7,205","10",0,NA,1,"1","8","52","12","29","11","0"
"165","Gustine","5,655","39",0,NA,2,"5","32","125","50","55","20","8"
"166","Hanford","54,425","299",2,NA,10,"63","224","1,939","345","1,401","193","11"
"167","Hawaiian Gardens","14,437","56",1,NA,2,"21","32","205","47","106","52","1"
"168","Hawthorne","86,132","580",6,NA,32,"299","243","2,242","523","1,333","386","6"
"169","Hayward","150,955","589",5,NA,33,"333","218","4,844","1,051","2,122","1,671","21"
"170","Healdsburg","11,483","25",0,NA,3,"2","20","236","47","181","8","0"
"171","Hemet","81,698","447",4,NA,24,"173","246","3,963","1,110","2,294","559","1"
"172","Hercules","24,831","22",0,NA,2,"6","14","274","83","143","48","0"
"173","Hermosa Beach","19,858","27",0,NA,4,"6","17","549","119","395","35","0"
"174","Hesperia","92,621","371",1,NA,17,"83","270","2,330","869","1,052","409","15"
"175","Hidden Hills","1,905","2",0,NA,0,"2","0","7","6","1","0","0"
"176","Highland","54,462","191",3,NA,8,"56","124","1,362","480","527","355","9"
"177","Hillsborough","11,245","0",0,NA,0,"0","0","57","32","23","2","0"
"178","Hollister","36,414","195",4,NA,14,"26","151","570","185","312","73","7"
"179","Holtville","6,022","12",0,NA,2,"1","9","102","26","67","9","0"
"180","Hughson","6,898","7",0,NA,0,"1","6","147","50","77","20","1"
"181","Huntington Beach","195,842","362",2,NA,31,"100","229","4,934","793","3,796","345","25"
"182","Huntington Park","58,852","359",1,NA,6,"197","155","1,812","220","1,003","589","5"
"183","Huron","6,812","71",1,NA,2,"16","52","271","96","134","41","2"
"184","Imperial","15,943","7",0,NA,0,"1","6","86","18","53","15","0"
"185","Imperial Beach","26,998","133",1,NA,6,"25","101","454","125","228","101","3"
"186","Indian Wells","5,174","7",0,NA,0,"2","5","172","48","116","8","0"
"187","Indio","80,243","468",1,NA,34,"120","313","2,699","792","1,335","572","9"
"188","Industry","223","51",0,NA,4,"18","29","1,041","110","705","226","1"
"189","Inglewood","111,672","739",14,NA,29,"326","370","2,718","637","1,441","640","23"
"190","Ione","7,160","6",0,NA,0,"1","5","101","28","65","8","1"
"191","Irvine","235,830","113",2,NA,12,"38","61","3,285","583","2,553","149","10"
"192","Irwindale","1,440","20",0,NA,1,"4","15","229","40","145","44","3"
"193","Isleton","817","9",0,NA,0,"3","6","46","23","23","0","0"
"194","Jackson","4,549","23",0,NA,2,"2","19","179","60","112","7","5"
"195","Jurupa Valley","98,090","267",3,NA,12,"75","177","3,065","570","1,732","763","2"
"196","Kensington","5,230","5",0,NA,0,"0","5","85","36","35","14","2"
"197","Kerman","14,543","45",0,NA,2,"9","34","436","120","233","83","1"
"198","King City","13,260","68",5,NA,0,"20","43","201","84","93","24","2"
"199","Kingsburg","11,651","23",0,NA,3,"2","18","327","111","162","54","2"
"200","La Canada Flintridge","20,572","12",0,NA,0,"3","9","303","96","196","11","1"
"201","Lafayette","24,829","21",0,NA,0,"6","15","413","110","275","28","0"
"202","Laguna Beach","23,313","41",0,NA,3,"5","33","469","87","356","26","5"
"203","Laguna Hills","31,134","53",0,NA,3,"12","38","508","75","390","43","1"
"204","Laguna Niguel","64,894","57",0,NA,4,"13","40","624","95","500","29","1"
"205","Laguna Woods","16,584","5",0,NA,2,"1","2","132","22","100","10","2"
"206","La Habra","61,740","88",0,NA,8,"33","47","1,155","185","856","114","0"
"207","La Habra Heights","5,437","3",0,NA,1,"0","2","55","33","20","2","0"
"208","Lake Elsinore","56,232","103",3,NA,2,"32","66","1,494","418","858","218","1"
"209","Lake Forest","79,336","105",2,NA,12,"23","68","813","150","620","43","1"
"210","Lakeport","4,674","14",0,NA,2,"1","11","272","60","192","20","0"
"211","Lake Shastina","2,482","2",0,NA,0,"0","2","10","4","4","2","0"
"212","Lakewood","81,086","225",2,NA,11,"110","102","2,062","419","1,356","287","9"
"213","La Mesa","58,482","181",1,NA,7,"64","109","1,968","354","1,381","233","3"
"214","La Mirada","49,150","72",1,NA,9,"14","48","841","207","520","114","3"
"215","Lancaster","159,792","832",9,NA,40,"261","522","3,495","1,062","2,030","403","49"
"216","La Palma","15,950","10",0,NA,0,"8","2","326","80","221","25","3"
"217","La Puente","40,415","143",3,NA,12,"48","80","493","149","219","125","5"
"218","La Quinta","39,150","68",0,NA,5,"26","37","1,494","402","1,002","90","4"
"219","La Verne","31,439","37",0,NA,1,"21","15","753","158","548","47","1"
"220","Lawndale","33,234","162",1,NA,9,"51","101","419","151","172","96","4"
"221","Lemon Grove","26,156","145",1,NA,8,"45","91","509","120","279","110","2"
"222","Lemoore","24,802","111",0,NA,6,"28","77","608","112","408","88","5"
"223","Lincoln","44,831","25",0,NA,6,"7","12","553","183","326","44","7"
"224","Lindsay","13,208","40",0,NA,1,"12","27","310","99","161","50","2"
"225","Livermore","84,350","270",0,NA,12,"44","214","1,830","387","1,275","168","15"
"226","Livingston","13,683","33",2,NA,1,"2","28","196","39","127","30","1"
"227","Lodi","63,639","287",1,NA,11,"89","186","2,301","634","1,302","365","15"
"228","Loma Linda","23,701","61",0,NA,1,"10","50","721","166","402","153","3"
"229","Lomita","20,622","66",0,NA,2,"17","47","414","114","231","69","1"
"230","Lompoc","43,581","188",0,NA,17,"31","140","1,051","311","660","80","17"
"231","Long Beach","469,665","2,346",34,NA,103,"1,118","1,091","12,999","3,776","6,868","2,355","97"
"232","Los Alamitos","11,735","24",0,NA,2,"11","11","360","108","213","39","0"
"233","Los Altos","30,225","23",0,NA,5,"13","5","358","79","262","17","4"
"234","Los Altos Hills","8,300","2",0,NA,1,"0","1","83","47","35","1","3"
"235","Los Angeles","3,878,725","16,524",251,NA,764,"7,885","7,624","85,844","15,728","55,734","14,382","1,430"
"236","Los Banos","36,965","109",1,NA,3,"31","74","1,060","257","696","107","4"
"237","Los Gatos","30,351","25",0,NA,3,"5","17","551","132","376","43","5"
"238","Lynwood","71,077","436",2,NA,14,"189","231","1,528","325","649","554","12"
"239","Madera","62,973","568",7,NA,28,"107","426","1,855","589","1,010","256","0"
"240","Malibu","12,891","28",0,NA,3,"11","14","350","81","246","23","1"
"241","Mammoth Lakes","8,258","18",0,NA,0,"5","13","152","33","113","6","1"
"242","Manhattan Beach","35,930","64",0,NA,5,"34","25","853","194","623","36","1"
"243","Manteca","72,261","212",0,NA,4,"79","129","2,699","489","1,883","327","22"
"244","Marina","20,426","50",0,NA,4,"13","33","560","234","298","28","4"
"245","Martinez","36,910","53",0,NA,3,"17","33","824","202","441","181","0"
"246","Marysville","12,168","87",0,NA,10,"17","60","539","135","269","135","6"
"247","Maywood","27,744","112",4,NA,4,"32","72","320","52","132","136","2"
"248","McFarland","12,288","65",1,NA,2,"18","44","274","88","58","128","12"
"249","Mendota","11,472","38",1,NA,1,"15","21","294","75","176","43","18"
"250","Menifee","82,634","99",3,NA,6,"21","69","1,680","391","979","310","3"
"251","Menlo Park","33,146","53",0,NA,3,"18","32","644","180","436","28","3"
"252","Merced","81,329","556",5,NA,19,"133","399","2,647","644","1,608","395","104"
"253","Mill Valley","14,239","11",0,NA,0,"2","9","229","78","143","8","0"
"254","Milpitas","69,522","93",1,NA,8,"56","28","2,067","291","1,491","285","8"
"255","Mission Viejo","95,895","62",0,NA,4,"22","36","998","156","802","40","4"
"256","Modesto","204,252","1,704",14,NA,72,"450","1,168","9,989","2,251","6,349","1,389","62"
"257","Monrovia","37,071","57",0,NA,1,"23","33","806","128","592","86","0"
"258","Montague","1,411","2",0,NA,0,"0","2","16","5","11","0","1"
"259","Montclair","37,785","187",2,NA,11,"79","95","1,623","288","962","373","14"
"260","Montebello","63,566","183",2,NA,11,"81","89","1,756","711","549","496","47"
"261","Monterey","29,338","120",1,NA,10,"38","71","1,108","220","835","53","2"
"262","Monterey Park","61,152","104",0,NA,8,"60","36","1,162","316","637","209","0"
"263","Monte Sereno","3,491","1",0,NA,1,"0","0","33","14","18","1","0"
"264","Moorpark","35,264","37",0,NA,3,"7","27","409","68","315","26","3"
"265","Moraga","16,664","11",0,NA,4,"0","7","150","37","92","21","1"
"266","Moreno Valley","201,284","638",10,NA,31,"312","285","5,872","1,822","3,224","826","4"
