"","Population","Violent","Murder","Robbery","Burglary","Arson","Years","Rape","Assault","PropertyCrime","Theft","SQmiles","CityNumber","MurderRange"
"3577",0.00909284474192809,0.00135360594327447,0.00204498977505112,0.00111474952971504,0.000930451429365903,0.00424448217317487,1,0.00356012658227848,0.000987453531598513,0.00720467237924713,0.0100937274693583,0.028168111732798,0.556435643564356,0.0102040816326531
"3578",0.00944473617076611,0.00424969307772216,0.00408997955010225,0.00376227966278827,0.00199993583093591,0.00169779286926995,0.142857142857143,0.00158227848101266,0.0043564126394052,0.00960054567932813,0.0117711107514383,0.028168111732798,0.556435643564356,0.0102040816326531
"3579",0.00929484729698743,0.00226650297478515,0,0.00181146798578694,0.0016897853544806,0,0.357142857142857,0.00118670886075949,0.00249767657992565,0.00920833866223302,0.0117269690861204,0.028168111732798,0.556435643564356,0
"3580",0.00921295436926067,0.00207762772688639,0.00408997955010225,0.00181146798578694,0.001283381281884,0.000848896434634975,0.857142857142857,0.00474683544303797,0.00151022304832714,0.00723025109775334,0.00949045804334712,0.028168111732798,0.556435643564356,0.0102040816326531
"3581",0.00933926800626952,0.0033682752541946,0.00408997955010225,0.00313523305232356,0.0015079730062137,0.000424448217317487,0.285714285714286,0.00158227848101266,0.00325278810408922,0.00910602378820821,0.0116533996439239,0.028168111732798,0.556435643564356,0.0102040816326531
"3582",0.00951397291875328,0.003714546542009,0,0.00376227966278827,0.0015935317583393,0.00169779286926995,0,0.00435126582278481,0.00307853159851301,0.00995012149891291,0.0125215190618425,0.028168111732798,0.556435643564356,0
"3583",0.00948146390804963,0.00484779802940158,0,0.00341392043475232,0.00206410489503011,0.000848896434634975,0.0714285714285714,0.00395569620253165,0.00551812267657993,0.0101973824444729,0.0124185218427674,0.028168111732798,0.556435643564356,0
"3584",0.00921568413351823,0.00147952277520698,0.00204498977505112,0.00153278060335818,0.000973230805428703,0,0.642857142857143,0.000791139240506329,0.00127788104089219,0.00612183996248455,0.0081956358606889,0.028168111732798,0.556435643564356,0.0102040816326531
"3585",0.00916481125417282,0.00236094059873454,0,0.00236884275064446,0.001604226602355,0.000424448217317487,0.428571428571429,0.000395569620253165,0.00232342007434944,0.00770772050986912,0.00993187469652605,0.028168111732798,0.556435643564356,0
"3586",0.00920923196345491,0.0025498158466333,0,0.00250818644185885,0.001283381281884,0.00127334465195246,0.5,0.000791139240506329,0.00249767657992565,0.0080828750479601,0.0105057163456587,0.028168111732798,0.556435643564356,0
"3587",0.00931321116562919,0.00147952277520698,0.00408997955010225,0.00153278060335818,0.00750778049902142,0.00127334465195246,0.714285714285714,0.00158227848101266,0.00110362453531599,0.000878202668712964,0.0013978194017333,0.028168111732798,0.556435643564356,0.0102040816326531
