NameCity,Population,Violent,Murder,Robbery,Burglary,Arson,Years,Rape,Assault,PropertyCrime,Theft
Millbrae,20555,31,1,14,95,7,2005,3,13,364,228
Mill Valley,13448,15,0,8,70,1,2005,0,7,268,167
Milpitas,63114,195,2,36,315,16,2005,17,140,2168,1575
Mission Viejo,96892,110,2,36,225,14,2005,3,69,1259,953
Modesto,208142,1316,8,388,1742,95,2005,65,855,13046,8290
Monrovia,38427,118,0,54,149,4,2005,11,53,1167,851
Montague,1498,5,0,1,12,0,2005,1,3,42,19
Montclair,35479,222,5,89,253,7,2005,12,116,2047,1339
Montebello,64123,282,5,125,300,30,2005,18,134,2143,1094
Monterey,29866,172,0,31,245,1,2005,16,125,1295,977
Monterey Park,62812,149,2,89,274,1,2005,4,54,1395,707
Monte Sereno,3459,0,0,0,10,0,2005,0,0,52,42
Moorpark,36132,45,2,9,91,4,2005,2,32,357,238
Moraga,16909,18,0,2,31,2,2005,3,13,167,120
Moreno Valley,167394,757,11,344,1522,15,2005,57,345,6260,3274
Morgan Hill,35117,60,1,16,244,21,2005,11,32,1058,728
Morro Bay,10377,16,0,0,32,3,2005,1,15,177,132
Mountain View,69469,302,1,63,253,8,2005,5,233,2176,1660
Mount Shasta,3653,7,1,0,23,0,2005,1,5,126,98
Murrieta,75008,122,1,36,489,8,2005,9,76,1815,1058
Napa,75966,384,0,34,359,16,2005,19,331,2080,1553
National City,54934,456,4,182,376,15,2005,16,254,2726,1409
Needles,5381,32,0,5,57,5,2005,2,25,227,144
Nevada City,3061,7,0,1,19,0,2005,1,5,100,70
Newark,42793,175,2,71,331,12,2005,17,85,1977,1321
Newman,8609,16,0,3,50,3,2005,0,13,192,118
Newport Beach,80488,122,3,26,589,8,2005,12,81,2496,1715
Norco,26845,90,1,17,216,2,2005,3,69,1079,714
Norwalk,107391,473,11,189,558,24,2005,17,256,2831,1399
Novato,49565,88,1,22,334,18,2005,13,52,1233,754
Oakdale,17796,52,2,15,351,4,2005,4,31,1223,729
Oakland,400619,5692,93,2672,5783,266,2005,306,2621,23027,8227
Oakley,26996,72,0,17,117,4,2005,3,52,686,441
Oceanside,168550,983,7,264,1065,33,2005,78,634,5657,3846
Ojai,8099,18,0,3,32,1,2005,0,15,203,160
Ontario,171186,866,12,294,991,84,2005,56,504,6744,3714
Orange,134708,225,2,100,537,45,2005,2,121,3419,2301
Orinda,18297,10,0,6,51,0,2005,2,2,261,186
Orland,6645,30,0,2,119,4,2005,6,22,316,157
Oroville,13297,164,2,37,285,1,2005,22,103,935,449
Oxnard,184806,830,19,386,941,63,2005,47,378,4384,2681
Pacifica,37429,67,0,12,122,2,2005,7,48,794,567
Pacific Grove,15381,18,0,5,75,0,2005,0,13,325,243
Palmdale,132024,1042,15,318,967,62,2005,48,661,4115,2384
Palm Desert,46925,145,2,38,714,4,2005,6,99,2662,1691
Palm Springs,46744,347,4,112,872,39,2005,23,208,3102,1659
Palo Alto,57240,91,1,46,371,19,2005,5,39,2043,1548
Palos Verdes Estates,13960,9,0,1,36,0,2005,1,7,103,64
Paradise,26848,33,0,7,249,4,2005,6,20,796,463
Paramount,57277,452,10,221,358,22,2005,4,217,2082,956
Parlier,13067,82,2,8,110,5,2005,1,71,650,376
Pasadena,145025,803,6,285,788,29,2005,23,489,4389,3041
