"city","population","violent","murder","rape","robbery","Aggravatedassault","Propertycrime","burglary","Larceny-theft","Motorvehicletheft","arson"
"Tiburon","9,135","0","0","0","0","0","82","13","67","2","0"
"Torrance","145,183","280","3","26","114","137","2,853","399","2,161","293","12"
"Tracy","92,895","166","5","35","62","64","1,843","156","1,411","276","14"
"Truckee","16,611","31","0","3","4","24","114","36","66","12","1"
"Tulare","65,134","261","4","27","69","161","1,469","225","951","293","11"
"Tulelake","985","3","0","1","0","2","4","1","3","0","0"
"Turlock","74,120","426","1","29","138","258","2,323","402","1,483","438","34"
"Tustin","80,356","141","1","16","61","63","2,118","241","1,694","183","6"
"Twentynine Palms","26,588","117","0","10","15","92","265","96","134","35","4"
"Ukiah","16,197","110","1","9","24","76","298","117","147","34","23"
"Union City","75,202","277","2","8","79","188","1,718","192","1,300","226","9"
"Upland","77,398","298","3","20","107","168","1,821","368","1,206","247","11"
"Vacaville","101,147","331","3","47","80","201","2,442","162","2,120","160","8"
"Vallejo","122,657","1,037","12","138","336","551","4,941","2,888","1,148","905","52"
"Ventura","111,596","458","3","56","106","293","2,969","353","2,362","254","7"
"Vernon","112","27","0","1","12","14","485","133","272","80","5"
"Victorville","123,089","988","5","45","255","683","2,271","590","1,061","620","21"
"Villa Park","5,840","4","0","0","0","4","44","9","35","0","0"
"Visalia","134,961","586","4","111","159","312","3,900","747","2,627","526","20"
"Vista","102,227","354","2","38","93","221","1,438","251","945","242","6"
"Walnut","30,108","38","0","4","14","20","386","152","207","27","0"
"Walnut Creek","70,546","120","0","6","40","74","2,496","307","2,034","155","4"
"Waterford","9,021","13","0","1","5","7","143","17","76","50","0"
"Watsonville","54,261","328","1","37","53","237","971","148","589","234","8"
"Weed","2,673","34","0","3","4","27","55","8","38","9","0"
"West Covina","106,335","260","6","21","129","104","2,369","354","1,660","355","15"
"West Hollywood","37,173","294","0","24","139","131","1,898","215","1,566","117","9"
"Westlake Village","8,358","13","0","5","6","2","189","44","140","5","0"
"Westminster","91,086","259","0","19","122","118","2,611","511","1,824","276","22"
"West Sacramento","54,372","212","1","34","79","98","1,603","236","1,158","209","26"
"Wheatland","3,940","6","0","0","1","5","43","8","26","9","0"
"Whittier","86,158","213","1","27","93","92","1,901","318","1,278","305","7"
"Wildomar","37,939","61","0","1","12","48","637","101","375","161","1"
"Williams","5,348","20","0","3","4","13","76","28","34","14","2"
"Willits","4,937","16","0","2","6","8","92","28","51","13","2"
"Windsor","27,981","58","0","8","8","42","257","30","212","15","0"
"Winters","7,374","11","0","0","1","10","115","19","81","15","3"
"Woodlake","7,682","28","0","4","2","22","88","14","61","13","0"
"Woodland","61,176","224","3","18","44","159","1,488","231","1,062","195","52"
"Yorba Linda","68,225","42","0","3","17","22","627","140","433","54","1"
"Yountville","2,988","5","0","0","0","5","42","5","36","1","1"
"Yreka","7,527","28","0","0","1","27","235","34","172","29","0"
"Yuba City","67,164","241","3","28","52","158","1,823","230","1,334","259","7"
"Yucaipa","53,964","200","3","14","31","152","641","172","365","104","0"
"Yucca Valley","21,858","160","0","9","25","126","292","84","157","51","3"
