"city","population","violent","murder","rape","robbery","Aggravatedassault","Propertycrime","burglary","Larceny-theft","Motorvehicletheft","arson"
"Tehachapi","12,402","82","0","19","12","51","276","71","155","50","3"
"Temecula","116,411","139","0","4","60","75","2,711","429","1,964","318","2"
"Temple City","36,484","64","0","7","22","35","472","212","216","44","0"
"Thousand Oaks","129,319","126","14","30","30","52","1,480","236","1,127","117","4"
"Tiburon","9,195","7","0","0","2","5","77","15","62","0","0"
"Torrance","146,968","267","2","35","107","123","2,702","468","1,951","283","9"
"Tracy","91,988","199","4","31","61","103","2,331","261","1,772","298","17"
"Truckee","16,609","17","0","2","3","12","143","42","85","16","2"
"Tulare","64,509","251","3","24","61","163","1,818","325","1,143","350","6"
"Tulelake","991","0","0","0","0","0","6","1","3","2","0"
"Turlock","74,267","420","7","29","130","254","2,233","351","1,447","435","45"
"Tustin","81,243","122","0","15","49","58","1,874","243","1,506","125","5"
"Twentynine Palms","26,755","81","1","16","16","48","278","111","136","31","7"
"Ukiah","16,037","95","1","15","11","68","284","76","149","59","26"
"Union City","76,198","261","1","15","89","156","1,653","246","1,170","237","10"
"Upland","77,453","290","2","13","109","166","2,072","500","1,297","275","3"
"Vacaville","101,146","230","2","22","63","143","2,158","163","1,804","191","12"
"Vallejo","122,974","942","8","103","349","482","4,508","2,456","975","1,077","40"
"Ventura","111,272","445","2","54","117","272","3,482","481","2,667","334","32"
"Vernon","113","27","1","1","13","12","383","82","195","106","3"
"Victorville","123,343","809","9","63","258","479","2,718","631","1,386","701","32"
"Villa Park","5,904","0","0","0","0","0","57","21","34","2","0"
"Visalia","134,224","450","3","107","138","202","3,978","748","2,701","529","23"
"Vista","102,742","330","5","32","104","189","1,497","266","926","305","2"
"Walnut","30,343","22","0","4","9","9","483","217","228","38","0"
"Walnut Creek","70,587","109","2","3","35","69","2,249","303","1,812","134","1"
"Waterford","9,018","20","0","0","6","14","114","27","53","34","0"
"Watsonville","54,513","243","1","18","50","174","1,330","196","785","349","14"
"Weed","2,682","26","0","2","4","20","82","13","62","7","0"
"West Covina","107,806","292","1","25","150","116","2,513","385","1,735","393","8"
"West Hollywood","37,478","301","3","40","127","131","2,100","240","1,762","98","20"
"Westlake Village","8,459","12","1","0","6","5","200","36","156","8","1"
"Westminster","91,821","286","2","26","117","141","2,433","425","1,739","269","8"
"Westmorland","2,291","12","1","0","0","11","28","6","21","1","1"
"West Sacramento","54,215","225","1","17","92","115","1,412","224","931","257","15"
"Wheatland","3,892","3","0","0","0","3","49","9","29","11","1"
"Whittier","87,055","233","1","23","99","110","2,225","367","1,527","331","11"
"Wildomar","37,626","48","1","0","19","28","724","136","456","132","0"
"Williams","5,380","22","0","1","3","18","81","28","43","10","3"
"Willits","4,875","21","0","10","5","6","72","15","32","25","3"
"Windsor","27,654","74","0","7","6","61","249","42","190","17","2"
"Winters","7,371","9","0","2","3","4","118","17","94","7","0"
"Woodlake","7,700","25","0","2","1","22","107","25","69","13","5"
"Woodland","60,679","220","1","16","67","136","1,602","252","1,146","204","25"
"Yorba Linda","68,794","44","0","6","12","26","812","185","561","66","5"
"Yountville","2,921","2","0","1","0","1","33","5","28","0","0"
"Yreka","7,573","37","0","2","2","33","221","38","164","19","0"
"Yuba City","67,035","264","1","35","75","153","1,846","234","1,356","256","11"
"Yucaipa","54,001","101","0","12","29","60","822","160","473","189","3"
"Yucca Valley","21,895","85","2","8","21","54","340","83","204","53","5"
