"city","population","violent","murder","rape","robbery","Aggravatedassault","Propertycrime","burglary","Larceny-theft","Motorvehicletheft","arson"
"Costa Mesa","112,635","254","4","32","83","135","4,079","668","3,050","361","24"
"Cotati","7,398","54","0","3","4","47","85","37","39","9","0"
"Covina","48,588","151","2","13","55","81","1,651","393","1,070","188","8"
"Crescent City","7,723","51","0","0","9","42","215","54","143","18","1"
"Cudahy","24,201","151","0","1","57","93","347","50","219","78","4"
"Culver City","39,528","179","0","6","96","77","1,760","193","1,465","102","0"
"Cupertino","59,769","58","0","6","23","29","797","175","569","53","12"
"Cypress","48,976","56","0","2","17","37","1,018","183","771","64","3"
"Daly City","103,311","216","0","9","76","131","1,803","395","1,151","257","21"
"Dana Point","34,172","65","0","5","13","47","604","129","444","31","2"
"Danville","43,121","16","0","0","2","14","442","94","331","17","0"
"Davis","66,628","95","0","20","31","44","1,476","390","999","87","17"
"Delano","54,318","274","0","6","53","215","1,437","545","552","340","34"
"Del Mar","4,263","15","0","2","0","13","211","54","144","13","0"
"Del Rey Oaks","1,668","2","0","0","1","1","37","7","30","0","0"
"Desert Hot Springs","27,929","344","6","12","67","259","1,157","571","432","154","3"
"Diamond Bar","56,470","55","0","1","17","37","952","354","525","73","4"
"Dinuba","21,999","181","0","4","32","145","919","341","424","154","5"
"Dixon","18,708","53","0","5","20","28","315","96","181","38","1"
"Dorris","939","1","0","1","0","0","23","7","15","1","0"
"Dos Palos","5,079","59","1","2","1","55","162","44","99","19","0"
"Downey","113,628","381","6","20","190","165","3,537","670","1,908","959","4"
"Duarte","21,673","71","0","5","17","49","507","121","317","69","0"
"Dublin","47,004","84","0","4","20","60","731","155","522","54","7"
"Dunsmuir","1,650","5","0","0","1","4","41","16","25","0","0"
"East Palo Alto","28,766","333","7","11","85","230","587","321","128","138","0"
"Eastvale","55,439","41","0","1","15","25","1,007","256","641","110","3"
"El Cajon","101,864","365","2","24","147","192","2,414","493","1,527","394","15"
"El Centro","43,643","166","2","7","40","117","2,477","734","1,572","171","9"
"El Cerrito","24,156","128","0","2","79","47","1,022","239","635","148","1"
"Elk Grove","156,344","512","1","20","95","396","3,292","674","2,406","212","26"
"El Monte","115,356","395","4","14","203","174","2,230","571","1,081","578","14"
"El Segundo","16,931","38","0","1","15","22","595","156","389","50","5"
"Emeryville","10,309","175","3","4","100","68","1,735","170","1,390","175","1"
"Encinitas","60,960","150","1","12","23","114","1,296","291","929","76","3"
"Escalon","7,314","24","0","2","2","20","227","72","144","11","7"
"Escondido","147,386","628","5","38","206","379","3,887","764","2,365","758","14"
"Etna","737","1","0","0","0","1","2","0","2","0","0"
"Eureka","27,469","159","0","17","71","71","1,956","347","1,430","179","26"
"Exeter","10,596","28","0","3","1","24","306","89","191","26","1"
"Fairfax","7,590","10","0","3","0","7","133","32","93","8","1"
"Fairfield","107,110","454","8","30","139","277","3,317","676","2,144","497","14"
"Farmersville","10,860","34","1","1","4","28","227","65","129","33","0"
"Ferndale","1,385","3","0","0","0","3","17","4","12","1","0"
"Fillmore","15,298","24","2","0","4","18","198","27","148","23","0"
"Firebaugh","7,724","29","0","1","5","23","141","58","60","23","1"
"Folsom","73,678","85","0","7","24","54","1,277","235","963","79","13"
"Fontana","200,874","850","5","31","291","523","4,494","1,099","2,389","1,006","12"
"Fort Bragg","7,317","34","1","3","1","29","367","95","261","11","2"
"Fort Jones","841","0","0","0","0","0","14","6","7","1","0"
"Fortuna","12,050","46","0","7","8","31","442","74","339","29","4"
