"","X","City","Population","Violentcrime","Murder.andnonnegligentmanslaughter","Rape1","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny.theft","Motorvehicletheft","Arson"
"346",346,"Sacramento","513,934","3,223",34,"127","1,039","2,023","16,354","2,993","10,644","2,717","179"
"347",347,"Salinas","156,943","782",8,"66","241","467","3,532","742","1,709","1,081","26"
"348",348,"San Bernardino","216,715","2,858",46,"140","906","1,766","9,081","2,029","4,974","2,078","75"
"349",349,"San Bruno","43,297","138",0,"17","34","87","1,139","116","948","75","5"
"350",350,"San Clemente","65,018","87",1,"3","29","54","918","160","700","58","4"
"351",351,"Sand City","407","9",0,"0","2","7","77","4","70","3","0"
"352",352,"San Diego","1,441,737","5,215",50,"561","1,346","3,258","27,141","3,543","18,426","5,172","122"
"353",353,"San Dimas","34,059","78",0,"15","15","48","833","113","659","61","1"
"354",354,"San Fernando","24,621","80",1,"4","25","50","243","52","112","79","2"
"355",355,"San Francisco","886,007","5,933",40,"324","3,055","2,514","48,780","4,644","39,887","4,249","275"
"356",356,"San Gabriel","40,422","98",0,"2","58","38","715","202","468","45","3"
"357",357,"Sanger","25,443","156",0,"9","15","132","304","59","178","67","0"
"358",358,"San Jacinto","49,452","108",2,"1","68","37","1,637","334","1,018","285","5"
"359",359,"San Jose","1,040,008","4,559",32,"671","1,339","2,517","25,164","4,114","14,924","6,126","135"
"360",360,"San Juan Capistrano","36,209","63",2,"4","20","37","297","69","201","27","2"
"361",361,"San Leandro","90,297","454",0,"18","283","153","4,105","375","2,941","789","16"
"362",362,"San Luis Obispo","47,735","192",0,"44","34","114","1,738","277","1,387","74","25"
"363",363,"San Marcos","98,598","193",0,"17","46","130","955","163","649","143","3"
"364",364,"San Marino","13,196","14",0,"1","3","10","208","77","126","5","0"
"365",365,"San Mateo","106,020","266",2,"45","68","151","2,217","516","1,523","178","9"
"366",366,"San Pablo","31,336","194",2,"7","102","83","1,009","101","589","319","11"
"367",367,"San Rafael","58,819","230",0,"23","87","120","1,686","299","1,173","214","13"
"368",368,"San Ramon","76,387","58",0,"4","21","33","1,099","179","869","51","3"
"369",369,"Santa Ana","333,664","1,453",13,"207","472","761","6,808","854","4,611","1,343","49"
"370",370,"Santa Barbara","91,717","400",2,"72","82","244","2,118","254","1,686","178","15"
"371",371,"Santa Clara","131,173","214",0,"35","73","106","4,748","363","4,013","372","18"
"372",372,"Santa Clarita","218,103","277",2,"49","89","137","2,059","392","1,448","219","17"
"373",373,"Santa Cruz","65,263","389",0,"29","88","272","2,932","348","2,363","221","34"
"374",374,"Santa Fe Springs","18,041","105",2,"10","42","51","1,035","205","654","176","6"
"375",375,"Santa Monica","91,621","664",3,"40","247","374","3,964","577","3,143","244","19"
"376",376,"Santa Paula","30,098","91",2,"6","21","62","404","103","272","29","3"
"377",377,"Santa Rosa","177,884","857",3,"146","126","582","2,874","486","2,077","311","28"
"378",378,"Santee","58,701","98",0,"8","29","61","806","74","659","73","7"
"379",379,"Saratoga","30,666","16",0,"4","2","10","240","104","122","14","5"
"380",380,"Sausalito","7,118","7",0,"0","1","6","258","21","224","13","0"
"381",381,"Scotts Valley","11,875","13",0,"2","1","10","141","31","102","8","2"
"382",382,"Seal Beach","24,120","19",0,"1","10","8","551","62","458","31","0"
"383",383,"Seaside","34,036","78",3,"11","12","52","439","44","329","66","5"
"384",384,"Sebastopol","7,815","21",0,"3","7","11","177","51","110","16","2"
"385",385,"Selma","24,983","85",3,"6","25","51","605","204","280","121","0"
"386",386,"Shafter","20,456","53",0,"3","9","41","513","127","298","88","8"
"387",387,"Sierra Madre","10,917","15",0,"1","0","14","79","29","46","4","0"
"388",388,"Signal Hill","11,624","95",0,"1","27","67","678","110","491","77","3"
"389",389,"Simi Valley","126,025","146",1,"15","35","95","1,188","208","889","91","7"
"390",390,"Solana Beach","13,440","13",0,"3","4","6","173","39","115","19","0"
"391",391,"Soledad","26,015","53",0,"4","14","35","136","24","83","29","5"
