"","City","Population","Violentcrime","Murder.andnonnegligentmanslaughter","Rape.reviseddefinition1.","Rape.legacydefinition2.","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny.theft","Motorvehicletheft","Arson"
"222","Lincoln","47,206","29",0,"5",NA,"7","17","541","118","366","57","2"
"223","Lindsay","13,533","72",0,"1",NA,"7","64","322","80","151","91","5"
"224","Livermore","89,553","174",1,"26",NA,"59","88","2,284","255","1,739","290","14"
"225","Livingston","14,076","60",0,"5",NA,"6","49","372","115","193","64","3"
"226","Lodi","65,067","351",5,"9",NA,"84","253","1,935","438","1,189","308","4"
"227","Loma Linda","24,190","34",0,"3",NA,"12","19","649","103","403","143","4"
"228","Lomita","20,889","69",0,"4",NA,"27","38","347","73","223","51","0"
"229","Lompoc","44,541","222",0,"27",NA,"19","176","977","219","628","130","5"
"230","Long Beach","476,476","2,846",33,"197",NA,"1,138","1,478","14,224","2,988","8,377","2,859","117"
"231","Los Alamitos","11,774","13",0,"2",NA,"4","7","219","73","129","17","0"
"232","Los Altos","31,000","13",0,"3",NA,"3","7","343","133","193","17","2"
"233","Los Altos Hills","8,495","6",0,"2",NA,"0","4","63","41","22","0","3"
"234","Los Angeles","4,007,905","28,817",293,"2,343",NA,"10,307","15,874","99,151","15,821","64,739","18,591","1,241"
"235","Los Banos","37,738","121",1,"11",NA,"35","74","1,161","253","733","175","4"
"236","Los Gatos","30,947","21",0,"2",NA,"6","13","616","139","432","45","3"
"237","Lynwood","72,471","469",9,"31",NA,"197","232","1,713","245","701","767","17"
"238","Madera","64,753","505",3,"22",NA,"98","382","1,859","297","1,262","300","0"
"239","Malibu","13,030","38",0,"6",NA,"13","19","402","87","283","32","1"
"240","Mammoth Lakes","7,891","21",1,"5",NA,"3","12","109","19","79","11","0"
"241","Manhattan Beach","35,955","53",0,"8",NA,"32","13","1,030","191","786","53","8"
"242","Manteca","77,104","244",0,"30",NA,"91","123","2,700","315","2,020","365","13"
"243","Marina","21,539","57",0,"12",NA,"10","35","499","63","390","46","4"
"244","Martinez","38,541","51",0,"3",NA,"21","27","858","112","422","324","0"
