"","State","Population","Violentcrime","Murder.andnonnegligentmanslaughter","Rape1","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny.theft","Motorvehicletheft","Arson"
"174","Hesperia","94,292","380",2,"38","97","243","2,117","452","1,230","435","25"
"175","Hidden Hills","1,937","1",0,"0","0","1","12","4","7","1","0"
"176","Highland","55,229","186",4,"13","74","95","1,082","250","609","223","17"
"177","Hillsborough","11,531","8",0,"4","0","4","70","28","38","4","0"
"178","Hollister","38,310","132",1,"18","33","80","396","71","252","73","5"
"179","Holtville","6,519","25",1,"5","1","18","65","10","49","6","0"
"180","Hughson","7,552","2",0,"0","1","1","101","15","74","12","0"
"181","Huntington Beach","202,244","461",2,"75","95","289","4,285","617","3,283","385","32"
"182","Huntington Park","59,004","427",4,"42","197","184","1,817","210","903","704","12"
"183","Huron","6,973","66",3,"6","6","51","54","16","24","14","29"
"184","Imperial","17,629","11",1,"0","2","8","61","14","36","11","1"
"185","Imperial Beach","27,593","133",1,"5","34","93","364","69","211","84","1"
"186","Indian Wells","5,408","1",0,"0","0","1","159","51","103","5","0"
"187","Indio","90,055","639",3,"39","119","478","2,287","449","1,483","355","6"
"188","Industry","204","73",1,"5","36","31","928","151","629","148","6"
"189","Inglewood","110,811","785",13,"46","389","337","2,760","492","1,466","802","20"
"190","Ione","6,915","3",0,"0","0","3","61","4","50","7","1"
"191","Irvine","276,115","169",2,"46","55","66","3,635","627","2,814","194","10"
"192","Irwindale","1,436","12",1,"0","7","4","212","56","121","35","0"
"193","Isleton","841","5",1,"0","0","4","6","3","3","0","0"
"194","Jackson","4,683","21",0,"2","2","17","129","37","76","16","3"
"195","Jurupa Valley","104,922","272",5,"19","82","166","2,661","368","1,591","702","5"
"196","Kensington","5,397","3",0,"1","1","1","49","13","29","7","1"
"197","Kerman","14,760","49",0,"9","8","32","343","92","221","30","2"
"198","King City","14,037","57",3,"9","2","43","196","71","72","53","2"
"199","Kingsburg","11,874","35",0,"2","4","29","254","108","109","37","4"
"200","La Canada Flintridge","20,480","16",0,"1","6","9","287","105","162","20","0"
"201","Lafayette2","26,492","7",0,"2","4","1","","41","","19","1"
"202","Laguna Beach","23,261","100",0,"10","14","76","559","124","369","66","1"
"203","Laguna Hills","31,715","44",1,"5","18","20","467","117","301","49","4"
"204","Laguna Niguel","65,700","54",1,"7","11","35","573","95","428","50","1"
"205","Laguna Woods","16,305","4",0,"1","0","3","127","22","90","15","1"
"206","La Habra","61,878","137",1,"9","46","81","1,251","197","869","185","3"
"207","La Habra Heights","5,426","4",0,"1","1","2","95","29","60","6","1"
"208","Lake Elsinore","66,136","177",1,"12","57","107","2,145","299","1,507","339","1"
"209","Lake Forest","84,224","133",0,"19","24","90","757","166","504","87","2"
"210","Lakeport","4,775","28",0,"3","6","19","242","58","160","24","0"
"211","Lake Shastina","2,562","1",0,"0","0","1","21","7","11","3","0"
"212","Lakewood","81,317","318",3,"13","151","151","2,422","438","1,725","259","4"
"213","La Mesa","60,425","160",3,"11","50","96","1,193","177","823","193","7"
"214","La Mirada","49,328","104",2,"7","34","61","906","143","625","138","1"
"215","Lancaster","160,653","1,219",15,"80","337","787","3,318","935","1,733","650","40"
"216","La Palma","15,811","19",0,"0","7","12","363","140","190","33","1"
"217","La Puente","40,467","148",0,"14","43","91","444","92","190","162","3"
"218","La Quinta","41,528","67",0,"8","32","27","1,197","168","963","66","0"
"219","La Verne","32,613","92",0,"11","27","54","766","137","563","66","3"
"220","Lawndale","33,205","178",2,"3","66","107","433","75","214","144","2"
"221","Lemon Grove","27,113","171",1,"4","55","111","618","93","422","103","0"
"222","Lemoore","25,999","141",3,"20","21","97","434","93","267","74","4"
"223","Lincoln","47,741","44",2,"19","6","17","605","108","435","62","3"
"224","Lindsay","13,513","45",2,"0","13","30","273","58","149","66","7"
"225","Livermore","90,485","166",0,"30","48","88","1,977","191","1,510","276","22"
"226","Livingston","14,117","54",0,"2","12","40","285","95","154","36","6"
"227","Lodi","65,042","323",1,"13","127","182","1,681","347","985","349","8"
"228","Loma Linda","24,265","39",0,"6","12","21","610","112","401","97","1"
"229","Lomita","20,764","56",1,"3","13","39","402","90","241","71","1"
"230","Lompoc","43,948","243",2,"34","37","170","974","225","598","151","8"
"231","Long Beach","471,397","3,101",22,"203","1,237","1,639","12,598","2,765","7,104","2,729","127"
"232","Los Alamitos","11,671","16",0,"5","10","1","202","73","105","24","0"
"233","Los Altos","30,816","10",0,"3","2","5","321","87","215","19","3"
"234","Los Altos Hills","8,579","2",0,"1","0","1","59","22","36","1","4"
"235","Los Angeles","4,007,147","30,507",281,"2,455","10,814","16,957","101,618","16,668","65,757","19,193","1,414"
"236","Los Banos","37,910","138",2,"6","41","89","1,073","217","695","161","8"
"237","Los Gatos","30,720","14",0,"3","4","7","431","70","319","42","0"
"238","Lynwood","71,453","458",8,"16","220","214","1,681","293","688","700","22"
"239","Madera","64,939","378",4,"32","107","235","1,702","336","967","399","16"
"240","Malibu","12,918","38",0,"8","6","24","366","78","255","33","0"
"241","Mammoth Lakes","7,956","27",0,"5","5","17","147","21","115","11","0"
"242","Manhattan Beach","35,843","71",0,"11","36","24","875","179","625","71","3"
"243","Manteca","78,564","256",4,"18","89","145","2,240","302","1,616","322","14"
"244","Marina","22,030","54",0,"7","14","33","405","72","288","45","2"
"245","Martinez","38,619","54",0,"7","20","27","619","78","318","223","0"
"246","Marysville","12,275","95",1,"6","20","68","508","107","265","136","14"
"247","Maywood","27,671","115",2,"8","39","66","364","68","157","139","3"
"248","McFarland","14,882","67",2,"16","5","44","179","54","82","43","12"
"249","Mendota","11,459","74",0,"5","7","62","124","38","59","27","1"
"250","Menifee","90,403","123",3,"8","43","69","1,972","326","1,373","273","2"
"251","Menlo Park","34,195","53",0,"15","15","23","656","95","527","34","0"
"252","Merced","83,180","563",8,"28","158","369","2,668","472","1,706","490","92"
"253","Mill Valley","14,423","9",0,"0","3","6","211","36","163","12","0"
"254","Milpitas","79,503","114",2,"12","58","42","1,978","235","1,447","296","4"
"255","Mission Viejo","96,928","101",1,"13","26","61","969","158","733","78","1"
"256","Modesto","213,677","2,074",20,"110","519","1,425","8,465","1,188","5,865","1,412","63"
"257","Monrovia","37,214","66",2,"12","26","26","848","120","645","83","2"
"258","Montague","1,392","9",1,"2","0","6","18","10","6","2","0"
"259","Montclair","39,318","230",1,"25","85","119","1,534","284","870","380","15"
"260","Montebello","63,473","203",2,"9","82","110","1,644","665","519","460","103"
"261","Monterey","28,584","125",0,"17","58","50","1,206","162","964","80","5"
"262","Monterey Park","61,210","112",1,"10","55","46","1,613","439","955","219","4"
"263","Monte Sereno","3,583","0",0,"0","0","0","11","3","8","0","0"
"264","Moorpark","36,813","48",0,"8","9","31","332","55","257","20","4"
"265","Moraga","17,653","6",0,"1","3","2","128","29","89","10","1"
"266","Moreno Valley","207,418","798",9,"26","352","411","6,356","1,148","4,050","1,158","14"
"267","Morgan Hill","45,277","72",0,"1","18","53","722","92","507","123","2"
"268","Morro Bay","10,716","22",0,"2","4","16","197","35","152","10","3"
"269","Mountain View","81,525","150",1,"14","44","91","1,982","290","1,590","102","6"
"270","Mount Shasta","3,276","17",1,"2","1","13","66","8","48","10","1"
"271","Murrieta","113,016","80",1,"14","33","32","1,582","254","1,143","185","8"
"272","Napa","80,958","272",1,"39","43","189","1,353","338","828","187","1"
"273","National City","61,574","296",3,"23","109","161","1,157","132","667","358","11"
"274","Needles","5,011","37",0,"4","4","29","178","57","104","17","9"
"275","Nevada City","3,157","8",0,"0","2","6","117","22","67","28","0"
"276","Newark","46,360","88",1,"15","48","24","1,498","201","1,041","256","3"
"277","Newman","11,271","13",0,"0","4","9","142","46","70","26","0"
"278","Newport Beach","86,910","124",0,"31","21","72","2,123","361","1,630","132","6"
