"","City","Population","Violentcrime","Murder.andnonnegligentmanslaughter","Rape.reviseddefinition.1","Rape.legacydefinition.2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny.theft","Motorvehicletheft","Arson"
"437","Walnut Creek","67,555","74",0,"",4,"24","46","2,439","434","1,788","217","1"
"438","Waterford","8,646","18",2,"",0,"3","13","196","59","85","52","0"
"439","Watsonville","52,778","265",8,"",14,"85","158","1,489","190","937","362","6"
"440","Weed","2,894","20",0,"",3,"2","15","84","13","63","8","0"
"441","West Covina","108,136","225",1,"",4,"87","133","2,832","454","1,953","425","5"
"442","West Hollywood","35,507","267",1,"",7,"95","164","1,325","210","1,029","86","14"
"443","Westlake Village","8,452","7",0,"",5,"1","1","173","49","116","8","1"
"444","Westminster","92,217","194",2,"",20,"74","98","2,210","381","1,534","295","10"
"445","Westmorland","2,264","8",0,"",1,"2","5","4","3","0","1","0"
"446","West Sacramento","50,152","262",1,"",20,"95","146","1,295","275","846","174","16"
"447","Wheatland","3,521","4",0,"",0,"1","3","50","9","40","1","0"
"448","Whittier","86,952","239",4,"",15,"96","124","2,247","340","1,601","306","11"
"449","Wildomar","33,921","39",0,"",4,"5","30","550","132","323","95","0"
"450","Williams","5,188","6",0,"",1,"2","3","64","21","37","6","0"
"451","Willits","4,814","33",0,"",1,"3","29","50","8","31","11","4"
"452","Willows3","6,089","22",0,"4",NA,"3","15","167","45","114","8","2"
"453","Windsor","27,350","86",1,"",5,"11","69","254","52","185","17","1"
"454","Winters","6,962","21",0,"",1,"3","17","155","44","98","13","3"
"455","Woodlake","7,700","30",0,"",3,"5","22","122","34","66","22","1"
"456","Woodland","56,854","298",3,"",13,"58","224","1,756","425","1,091","240","29"
"457","Yorba Linda3","67,702","45",1,"13",NA,"7","24","702","139","506","57","2"
"458","Yountville","2,978","7",0,"",0,"0","7","40","14","24","2","0"
"459","Yreka","7,558","62",0,"",1,"2","59","298","75","200","23","3"
"460","Yuba City","65,525","223",0,"",21,"53","149","1,699","410","1,109","180","17"
"461","Yucaipa","52,794","71",2,"3",NA,"18","48","978","317","562","99","6"
"462","Yucca Valley","21,228","75",3,"6",NA,"13","53","533","165","287","81","7"
